Stream,Interest,Math_Score,Communication_Score,Technical_Skill_Score,Creativity_Score,Aptitude_Score,Skill_Level,Recommended_Career
PCB,Research,64,90,47,56,80,Intermediate,Nutritionist
PCB,Healthcare,88,85,45,94,59,Beginner,Doctor
Arts,Writing,73,72,59,78,74,Intermediate,Journalist
Arts,Design,99,55,51,74,43,Beginner,Journalist
PCMB,Biotech,60,80,80,63,92,Advanced,Biomedical Engineer
PCM,AI,65,49,90,96,83,Advanced,Civil Engineer
PCMB,Research,58,62,93,87,64,Intermediate,Biomedical Engineer
Commerce,Business,59,55,97,84,90,Advanced,Business Analyst
Commerce,Marketing,72,85,92,52,68,Intermediate,Chartered Accountant
PCMB,AI,50,46,56,64,69,Intermediate,Biomedical Engineer
PCM,Data,75,95,79,41,64,Intermediate,Software Developer
Commerce,Marketing,74,44,72,85,62,Intermediate,Business Analyst
Arts,Writing,82,55,44,94,98,Advanced,Lawyer
Commerce,Marketing,72,92,76,72,78,Intermediate,Chartered Accountant
PCM,Engineering,59,51,53,75,40,Beginner,AI Engineer
PCB,Research,50,86,48,65,82,Advanced,Nurse
PCB,Medical,44,43,94,46,83,Advanced,Microbiologist
Commerce,Finance,40,81,75,40,74,Intermediate,Financial Analyst
Commerce,Marketing,83,44,71,53,69,Intermediate,Financial Analyst
PCMB,Biotech,84,72,98,69,86,Advanced,Genetic Engineer
Arts,Human Behavior,79,50,78,75,88,Advanced,Graphic Designer
Arts,Human Behavior,42,72,81,49,69,Intermediate,Journalist
PCB,Research,93,85,67,64,50,Beginner,Pharmacist
PCM,Data,94,51,80,54,80,Intermediate,Software Developer
Commerce,Finance,94,50,49,58,48,Beginner,Business Analyst
PCB,Research,66,45,56,72,83,Advanced,Microbiologist
PCMB,AI,96,41,90,54,97,Advanced,Biomedical Engineer
PCB,Healthcare,91,68,73,89,43,Beginner,Biotechnologist
Commerce,Business,73,49,64,56,56,Beginner,Investment Banker
Commerce,Business,50,80,77,69,64,Intermediate,Chartered Accountant
PCM,AI,43,78,73,89,94,Advanced,Civil Engineer
Arts,Design,68,71,79,90,46,Beginner,Lawyer
PCB,Healthcare,53,73,43,94,76,Intermediate,Nutritionist
PCMB,Biotech,41,90,75,68,90,Advanced,Bioinformatics Scientist
Commerce,Finance,50,44,81,67,59,Beginner,Investment Banker
PCB,Healthcare,43,89,72,82,62,Intermediate,Biotechnologist
PCMB,AI,48,80,60,53,71,Intermediate,Genetic Engineer
PCMB,Biotech,62,95,91,82,89,Advanced,Bioinformatics Scientist
PCB,Research,70,69,74,92,77,Intermediate,Microbiologist
PCMB,AI,56,68,55,80,66,Intermediate,Genetic Engineer
Arts,Design,59,40,48,58,62,Intermediate,Lawyer
PCM,Data,99,76,84,56,90,Advanced,Data Scientist
PCB,Research,60,80,56,74,54,Beginner,Nutritionist
PCB,Healthcare,80,43,49,44,65,Intermediate,Microbiologist
PCB,Healthcare,79,40,84,49,61,Intermediate,Pharmacist
PCMB,Research,80,53,69,93,52,Beginner,Genetic Engineer
Arts,Human Behavior,47,69,74,55,92,Advanced,Psychologist
Commerce,Finance,52,63,52,61,55,Beginner,Financial Analyst
PCB,Healthcare,45,74,94,95,44,Beginner,Nurse
PCMB,Biotech,80,89,64,87,78,Intermediate,Bioinformatics Scientist
PCM,AI,51,41,84,60,63,Intermediate,Mechanical Engineer
Commerce,Finance,45,65,72,50,93,Advanced,Financial Analyst
PCMB,Research,72,55,46,48,68,Intermediate,Genetic Engineer
PCB,Research,88,97,60,58,80,Intermediate,Pharmacist
PCMB,Research,75,54,82,88,71,Intermediate,Bioinformatics Scientist
PCB,Healthcare,86,97,58,56,84,Advanced,Pharmacist
PCB,Healthcare,96,90,94,51,74,Intermediate,Pharmacist
PCM,AI,63,58,100,86,71,Intermediate,Civil Engineer
PCB,Healthcare,85,67,43,93,56,Beginner,Nutritionist
PCB,Healthcare,79,42,44,44,63,Intermediate,Pharmacist
PCMB,AI,58,92,88,43,53,Beginner,Bioinformatics Scientist
PCMB,Research,70,55,72,75,59,Beginner,Genetic Engineer
Arts,Design,44,49,81,59,47,Beginner,Lawyer
Commerce,Business,92,54,60,55,60,Beginner,Business Analyst
PCMB,Biotech,72,100,70,98,54,Beginner,Bioinformatics Scientist
PCMB,AI,90,80,87,58,51,Beginner,Biomedical Engineer
PCMB,AI,59,95,67,49,96,Advanced,Biomedical Engineer
Arts,Human Behavior,83,82,71,54,57,Beginner,Graphic Designer
Arts,Human Behavior,40,65,75,44,55,Beginner,Graphic Designer
PCMB,AI,69,99,62,72,75,Intermediate,Genetic Engineer
Arts,Human Behavior,43,85,65,92,95,Advanced,Psychologist
Commerce,Business,43,59,51,62,72,Intermediate,Investment Banker
Arts,Human Behavior,59,65,99,64,65,Intermediate,Graphic Designer
PCB,Medical,97,67,79,88,47,Beginner,Microbiologist
Arts,Design,99,65,41,64,100,Advanced,Graphic Designer
Arts,Design,66,76,43,98,69,Intermediate,Journalist
Commerce,Marketing,61,58,53,58,91,Advanced,Investment Banker
Arts,Writing,69,83,73,62,60,Beginner,Journalist
Commerce,Finance,96,44,95,94,43,Beginner,Chartered Accountant
Arts,Design,83,48,69,44,61,Intermediate,Journalist
Commerce,Business,49,67,50,56,66,Intermediate,Financial Analyst
PCB,Healthcare,82,94,66,76,95,Advanced,Doctor
Arts,Writing,85,77,80,78,51,Beginner,Journalist
Commerce,Marketing,53,41,79,54,68,Intermediate,Financial Analyst
Arts,Design,42,59,44,65,76,Intermediate,Lawyer
Arts,Design,41,83,93,62,68,Intermediate,Lawyer
Arts,Writing,41,88,74,46,68,Intermediate,Psychologist
PCB,Healthcare,84,70,57,91,44,Beginner,Microbiologist
Commerce,Finance,42,87,79,52,55,Beginner,Business Analyst
PCM,Technology,85,89,89,51,97,Advanced,AI Engineer
Arts,Writing,86,68,84,89,54,Beginner,Graphic Designer
PCMB,AI,61,53,92,68,80,Intermediate,Bioinformatics Scientist
PCB,Research,61,92,40,98,97,Advanced,Biotechnologist
Commerce,Business,91,89,89,54,68,Intermediate,Financial Analyst
PCB,Healthcare,88,65,91,62,86,Advanced,Doctor
Commerce,Finance,44,56,83,88,47,Beginner,Investment Banker
PCM,Data,60,57,72,74,77,Intermediate,Mechanical Engineer
PCB,Healthcare,89,66,93,69,74,Intermediate,Nurse
PCM,Technology,49,49,45,78,46,Beginner,Data Scientist
Arts,Writing,60,99,71,83,54,Beginner,Graphic Designer
Arts,Writing,100,48,83,72,55,Beginner,Journalist
Arts,Writing,76,74,67,41,85,Advanced,Graphic Designer
Arts,Writing,57,75,58,65,99,Advanced,Psychologist
PCM,Engineering,78,47,72,46,47,Beginner,Mechanical Engineer
PCB,Research,63,46,51,50,81,Advanced,Nurse
PCB,Healthcare,76,80,67,90,62,Intermediate,Nurse
PCB,Research,73,40,98,79,48,Beginner,Biotechnologist
PCMB,AI,68,90,51,60,51,Beginner,Biomedical Engineer
PCMB,Biotech,80,78,62,50,93,Advanced,Genetic Engineer
PCB,Healthcare,46,79,99,53,78,Intermediate,Nutritionist
Commerce,Marketing,77,80,42,68,54,Beginner,Chartered Accountant
Commerce,Business,67,66,66,50,69,Intermediate,Chartered Accountant
PCB,Research,70,92,97,100,93,Advanced,Nurse
PCM,Data,87,88,58,42,50,Beginner,Civil Engineer
Commerce,Finance,51,84,59,52,42,Beginner,Investment Banker
Arts,Writing,81,68,98,45,98,Advanced,Graphic Designer
PCMB,Biotech,48,84,100,64,99,Advanced,Genetic Engineer
PCMB,Biotech,65,76,88,75,80,Intermediate,Biomedical Engineer
Commerce,Marketing,55,48,42,90,41,Beginner,Chartered Accountant
PCMB,Research,89,51,64,94,99,Advanced,Biomedical Engineer
PCM,AI,50,89,100,66,49,Beginner,Software Developer
Commerce,Finance,68,78,52,84,96,Advanced,Business Analyst
PCB,Healthcare,97,91,54,94,55,Beginner,Doctor
PCB,Healthcare,62,43,66,59,54,Beginner,Nutritionist
Commerce,Finance,77,83,83,66,100,Advanced,Chartered Accountant
Arts,Writing,71,66,43,61,43,Beginner,Graphic Designer
PCMB,Biotech,89,62,47,58,48,Beginner,Bioinformatics Scientist
PCB,Healthcare,97,89,60,56,54,Beginner,Microbiologist
Arts,Writing,84,95,40,40,100,Advanced,Graphic Designer
Arts,Writing,78,62,80,84,91,Advanced,Lawyer
Commerce,Marketing,53,75,99,67,46,Beginner,Business Analyst
Arts,Writing,51,85,62,85,54,Beginner,Graphic Designer
Arts,Design,71,90,94,64,67,Intermediate,Graphic Designer
Arts,Human Behavior,76,77,41,58,61,Intermediate,Psychologist
Arts,Writing,59,42,74,90,52,Beginner,Lawyer
PCM,Engineering,61,94,89,54,53,Beginner,Data Scientist
Arts,Human Behavior,99,97,56,55,55,Beginner,Lawyer
PCB,Medical,91,56,49,63,52,Beginner,Doctor
PCM,Engineering,84,47,91,99,85,Advanced,Civil Engineer
PCB,Medical,93,72,93,60,50,Beginner,Nutritionist
PCMB,Research,63,80,80,57,56,Beginner,Genetic Engineer
Commerce,Business,97,94,73,97,51,Beginner,Chartered Accountant
Arts,Human Behavior,69,73,84,99,99,Advanced,Graphic Designer
PCM,AI,45,57,71,61,63,Intermediate,AI Engineer
PCMB,Research,69,93,93,44,81,Advanced,Biomedical Engineer
PCM,Engineering,45,76,93,45,72,Intermediate,Mechanical Engineer
PCMB,AI,41,46,59,52,86,Advanced,Genetic Engineer
PCM,Data,49,45,83,61,50,Beginner,Mechanical Engineer
Arts,Design,85,71,42,70,54,Beginner,Lawyer
PCB,Research,52,73,75,51,80,Intermediate,Microbiologist
PCB,Healthcare,52,96,80,79,54,Beginner,Pharmacist
Arts,Design,75,80,93,61,100,Advanced,Lawyer
PCMB,Biotech,69,79,85,80,80,Intermediate,Bioinformatics Scientist
Arts,Writing,73,49,50,78,87,Advanced,Journalist
PCMB,Biotech,51,92,68,81,62,Intermediate,Bioinformatics Scientist
Arts,Writing,85,56,87,56,49,Beginner,Psychologist
Commerce,Business,87,50,75,90,69,Intermediate,Business Analyst
PCM,Engineering,71,100,67,85,62,Intermediate,Data Scientist
PCB,Healthcare,47,88,41,53,42,Beginner,Nurse
Commerce,Business,54,75,57,58,45,Beginner,Business Analyst
Arts,Writing,95,96,48,86,55,Beginner,Lawyer
PCMB,AI,47,85,61,100,62,Intermediate,Biomedical Engineer
PCB,Research,43,61,76,47,90,Advanced,Microbiologist
Arts,Writing,59,65,51,47,46,Beginner,Psychologist
PCB,Healthcare,51,90,94,54,73,Intermediate,Nurse
PCB,Research,66,72,78,93,91,Advanced,Microbiologist
PCB,Medical,65,63,71,41,44,Beginner,Microbiologist
PCMB,Biotech,96,87,45,77,96,Advanced,Bioinformatics Scientist
PCMB,AI,45,44,66,71,91,Advanced,Genetic Engineer
PCMB,AI,48,71,90,80,64,Intermediate,Biomedical Engineer
PCM,Technology,70,100,54,99,81,Advanced,Mechanical Engineer
PCMB,AI,98,43,98,68,49,Beginner,Bioinformatics Scientist
Commerce,Business,100,67,65,40,78,Intermediate,Chartered Accountant
Commerce,Marketing,63,56,52,90,100,Advanced,Financial Analyst
Commerce,Business,40,79,69,72,92,Advanced,Financial Analyst
PCM,Data,96,90,43,57,43,Beginner,Mechanical Engineer
PCMB,Biotech,96,44,47,71,100,Advanced,Bioinformatics Scientist
PCM,Technology,51,49,61,45,66,Intermediate,Data Scientist
Arts,Design,88,46,48,61,42,Beginner,Psychologist
PCB,Healthcare,81,79,66,100,82,Advanced,Biotechnologist
PCB,Research,98,52,61,96,58,Beginner,Nurse
PCB,Medical,86,47,92,56,61,Intermediate,Nutritionist
PCM,Technology,94,53,63,99,65,Intermediate,Software Developer
Arts,Human Behavior,59,53,47,52,64,Intermediate,Journalist
Commerce,Marketing,95,86,52,93,65,Intermediate,Chartered Accountant
Commerce,Business,75,95,77,97,68,Intermediate,Financial Analyst
PCMB,Research,47,64,42,42,92,Advanced,Biomedical Engineer
PCMB,Biotech,55,67,73,59,62,Intermediate,Genetic Engineer
PCB,Research,97,74,100,62,43,Beginner,Biotechnologist
Commerce,Business,83,73,42,82,73,Intermediate,Business Analyst
PCB,Medical,93,65,79,74,65,Intermediate,Nutritionist
PCM,Technology,92,76,67,80,88,Advanced,AI Engineer
PCM,Technology,87,48,90,89,66,Intermediate,Data Scientist
Commerce,Finance,99,81,66,79,99,Advanced,Financial Analyst
Commerce,Marketing,56,89,69,65,97,Advanced,Financial Analyst
PCB,Research,84,78,77,62,50,Beginner,Doctor
PCB,Medical,90,64,83,44,78,Intermediate,Microbiologist
Commerce,Business,75,53,96,59,96,Advanced,Financial Analyst
PCB,Research,43,86,51,82,79,Intermediate,Nurse
PCM,Technology,41,53,45,97,51,Beginner,AI Engineer
Arts,Human Behavior,56,50,43,71,42,Beginner,Journalist
PCMB,AI,48,75,70,58,87,Advanced,Biomedical Engineer
PCMB,Research,88,48,42,61,48,Beginner,Genetic Engineer
PCM,Data,60,44,93,63,62,Intermediate,Mechanical Engineer
PCMB,AI,93,72,45,42,42,Beginner,Bioinformatics Scientist
PCMB,Biotech,91,87,61,78,65,Intermediate,Bioinformatics Scientist
PCMB,Research,77,48,52,93,46,Beginner,Biomedical Engineer
PCB,Research,41,65,43,85,94,Advanced,Biotechnologist
Arts,Human Behavior,99,82,52,77,76,Intermediate,Psychologist
PCB,Healthcare,80,84,55,49,57,Beginner,Nurse
PCMB,Biotech,59,47,90,51,94,Advanced,Biomedical Engineer
Commerce,Finance,80,91,61,90,50,Beginner,Financial Analyst
Arts,Design,67,44,68,98,63,Intermediate,Lawyer
PCMB,AI,54,72,78,52,75,Intermediate,Bioinformatics Scientist
PCM,Data,96,45,81,46,42,Beginner,Data Scientist
Commerce,Finance,83,77,67,83,84,Advanced,Investment Banker
Arts,Writing,82,90,96,97,99,Advanced,Lawyer
PCMB,Research,42,76,53,64,83,Advanced,Genetic Engineer
PCMB,AI,89,78,62,43,51,Beginner,Bioinformatics Scientist
Commerce,Finance,61,86,45,94,52,Beginner,Business Analyst
PCB,Research,81,54,48,50,58,Beginner,Nutritionist
Commerce,Finance,75,75,98,45,44,Beginner,Chartered Accountant
Arts,Design,59,53,44,88,40,Beginner,Graphic Designer
PCB,Research,84,90,99,92,77,Intermediate,Nutritionist
PCB,Medical,61,100,57,82,82,Advanced,Nutritionist
PCMB,AI,41,81,46,86,88,Advanced,Biomedical Engineer
PCMB,Biotech,73,68,84,60,100,Advanced,Biomedical Engineer
Arts,Design,60,85,86,52,41,Beginner,Lawyer
PCB,Research,98,92,54,91,88,Advanced,Microbiologist
PCMB,AI,44,93,81,88,40,Beginner,Genetic Engineer
Arts,Human Behavior,82,63,62,64,72,Intermediate,Lawyer
PCM,Technology,66,73,65,58,91,Advanced,Mechanical Engineer
Arts,Human Behavior,46,45,43,44,51,Beginner,Graphic Designer
Commerce,Finance,75,83,79,72,89,Advanced,Investment Banker
Arts,Human Behavior,91,72,92,67,40,Beginner,Psychologist
Commerce,Finance,53,68,57,72,99,Advanced,Investment Banker
Arts,Writing,40,83,67,40,46,Beginner,Lawyer
Arts,Human Behavior,42,90,52,43,41,Beginner,Lawyer
Commerce,Marketing,84,64,63,74,61,Intermediate,Financial Analyst
Commerce,Finance,72,60,88,94,88,Advanced,Chartered Accountant
PCM,Engineering,73,98,77,45,62,Intermediate,AI Engineer
Commerce,Marketing,49,73,58,58,84,Advanced,Financial Analyst
Commerce,Marketing,68,44,98,41,50,Beginner,Financial Analyst
Arts,Design,74,96,97,55,92,Advanced,Psychologist
Arts,Human Behavior,92,92,51,85,87,Advanced,Journalist
Commerce,Marketing,72,40,47,46,88,Advanced,Chartered Accountant
Arts,Design,73,47,82,67,74,Intermediate,Psychologist
Commerce,Finance,70,72,89,79,100,Advanced,Investment Banker
PCM,AI,55,88,86,93,65,Intermediate,AI Engineer
PCMB,AI,56,76,73,47,85,Advanced,Bioinformatics Scientist
PCB,Medical,67,55,94,62,92,Advanced,Pharmacist
PCMB,Biotech,84,54,48,78,65,Intermediate,Biomedical Engineer
PCB,Research,97,95,55,87,70,Intermediate,Nurse
Commerce,Marketing,85,81,51,41,73,Intermediate,Business Analyst
Arts,Design,89,71,58,88,70,Intermediate,Lawyer
Commerce,Business,44,58,63,51,45,Beginner,Business Analyst
PCB,Healthcare,96,59,90,97,97,Advanced,Nurse
PCB,Healthcare,99,75,94,48,72,Intermediate,Pharmacist
Commerce,Business,82,50,61,79,83,Advanced,Chartered Accountant
Commerce,Finance,91,76,42,79,56,Beginner,Chartered Accountant
PCB,Medical,95,57,76,58,75,Intermediate,Nutritionist
PCB,Healthcare,94,42,80,97,60,Beginner,Biotechnologist
Commerce,Business,94,47,91,89,86,Advanced,Business Analyst
Arts,Human Behavior,47,78,58,84,42,Beginner,Journalist
Arts,Human Behavior,77,94,73,88,41,Beginner,Journalist
PCMB,Biotech,48,91,55,100,73,Intermediate,Biomedical Engineer
Arts,Design,94,67,97,100,46,Beginner,Psychologist
PCM,Technology,45,86,88,42,85,Advanced,Software Developer
Commerce,Finance,63,87,83,47,97,Advanced,Financial Analyst
PCMB,Research,60,49,98,61,84,Advanced,Bioinformatics Scientist
Commerce,Business,80,97,54,47,59,Beginner,Chartered Accountant
Commerce,Finance,95,82,68,79,54,Beginner,Chartered Accountant
PCMB,Research,68,50,73,56,56,Beginner,Genetic Engineer
Commerce,Business,82,78,89,93,86,Advanced,Business Analyst
PCMB,Biotech,76,80,88,57,40,Beginner,Genetic Engineer
Arts,Human Behavior,77,74,74,47,85,Advanced,Lawyer
Commerce,Finance,42,69,80,66,70,Intermediate,Business Analyst
Commerce,Business,77,42,63,88,71,Intermediate,Business Analyst
PCM,Data,70,54,82,94,82,Advanced,Data Scientist
PCMB,Research,68,95,64,58,82,Advanced,Bioinformatics Scientist
Commerce,Business,80,60,90,77,51,Beginner,Chartered Accountant
PCMB,Biotech,90,87,42,83,59,Beginner,Genetic Engineer
Commerce,Marketing,97,53,43,72,55,Beginner,Business Analyst
Commerce,Finance,57,40,86,89,56,Beginner,Investment Banker
Arts,Human Behavior,71,100,95,76,90,Advanced,Psychologist
Arts,Human Behavior,44,42,90,92,95,Advanced,Lawyer
PCB,Healthcare,84,50,83,90,60,Beginner,Biotechnologist
PCM,Engineering,67,98,61,82,95,Advanced,Mechanical Engineer
PCB,Research,70,96,65,96,47,Beginner,Nutritionist
PCM,Technology,80,55,59,44,93,Advanced,AI Engineer
PCB,Research,52,61,95,94,61,Intermediate,Nutritionist
Arts,Writing,76,43,74,78,79,Intermediate,Psychologist
PCM,Engineering,66,94,89,93,42,Beginner,Civil Engineer
PCB,Healthcare,80,91,98,92,86,Advanced,Nurse
PCMB,Biotech,87,81,71,89,53,Beginner,Bioinformatics Scientist
Commerce,Business,87,98,45,97,56,Beginner,Business Analyst
Arts,Human Behavior,67,61,82,73,75,Intermediate,Psychologist
Commerce,Business,51,77,96,80,64,Intermediate,Investment Banker
Commerce,Marketing,81,95,75,64,82,Advanced,Chartered Accountant
Arts,Human Behavior,84,79,61,44,62,Intermediate,Psychologist
PCM,AI,71,58,62,84,61,Intermediate,Software Developer
Commerce,Marketing,43,51,58,56,71,Intermediate,Investment Banker
PCM,Technology,100,57,94,57,44,Beginner,Civil Engineer
PCB,Research,76,94,98,95,83,Advanced,Pharmacist
Commerce,Marketing,89,44,86,80,86,Advanced,Investment Banker
Commerce,Finance,77,42,89,96,59,Beginner,Financial Analyst
Arts,Human Behavior,55,93,71,97,53,Beginner,Psychologist
Arts,Design,94,99,61,43,81,Advanced,Psychologist
Arts,Design,73,91,62,81,74,Intermediate,Graphic Designer
Arts,Human Behavior,84,75,62,96,64,Intermediate,Graphic Designer
PCM,Data,52,62,41,81,69,Intermediate,Software Developer
Arts,Design,83,67,100,59,90,Advanced,Journalist
Commerce,Marketing,91,72,68,61,42,Beginner,Business Analyst
PCB,Research,89,83,86,67,69,Intermediate,Biotechnologist
PCM,Data,43,48,49,98,60,Beginner,Civil Engineer
PCM,Engineering,80,91,88,46,65,Intermediate,Data Scientist
Arts,Writing,54,61,62,86,98,Advanced,Graphic Designer
PCB,Medical,57,82,81,93,48,Beginner,Doctor
PCB,Research,74,91,96,76,65,Intermediate,Pharmacist
Arts,Writing,74,40,100,52,95,Advanced,Journalist
PCM,Data,46,82,44,53,47,Beginner,Data Scientist
PCB,Healthcare,86,63,83,73,52,Beginner,Biotechnologist
Commerce,Business,46,58,99,71,68,Intermediate,Investment Banker
Commerce,Business,100,87,70,65,93,Advanced,Chartered Accountant
PCM,Data,63,47,56,48,95,Advanced,AI Engineer
Arts,Human Behavior,77,96,40,59,57,Beginner,Graphic Designer
PCM,Engineering,82,72,44,49,70,Intermediate,AI Engineer
Arts,Human Behavior,59,56,75,89,68,Intermediate,Lawyer
Commerce,Finance,55,98,65,62,44,Beginner,Financial Analyst
PCB,Healthcare,84,73,47,66,91,Advanced,Biotechnologist
PCMB,AI,74,43,89,92,85,Advanced,Bioinformatics Scientist
Arts,Design,49,41,61,57,84,Advanced,Lawyer
PCMB,Research,96,96,44,43,47,Beginner,Bioinformatics Scientist
PCB,Research,75,77,68,69,97,Advanced,Biotechnologist
PCMB,AI,72,58,89,80,56,Beginner,Genetic Engineer
Arts,Design,96,50,62,93,84,Advanced,Lawyer
Arts,Writing,68,71,57,85,47,Beginner,Psychologist
PCB,Research,59,59,54,83,91,Advanced,Nurse
PCMB,Biotech,70,44,70,44,86,Advanced,Biomedical Engineer
PCMB,Research,86,93,66,50,93,Advanced,Genetic Engineer
PCB,Healthcare,68,66,44,84,41,Beginner,Nurse
Arts,Writing,100,95,46,97,42,Beginner,Psychologist
Arts,Writing,100,57,80,83,93,Advanced,Lawyer
PCM,AI,76,47,75,56,54,Beginner,Data Scientist
PCB,Research,57,79,41,41,40,Beginner,Nutritionist
PCM,Technology,44,65,50,87,61,Intermediate,Civil Engineer
PCB,Research,72,73,66,42,75,Intermediate,Biotechnologist
PCMB,Research,80,82,41,84,81,Advanced,Biomedical Engineer
PCM,Data,78,64,47,96,82,Advanced,AI Engineer
Commerce,Marketing,51,54,41,95,46,Beginner,Business Analyst
Commerce,Marketing,84,44,41,61,44,Beginner,Financial Analyst
PCM,AI,54,70,43,69,46,Beginner,Software Developer
PCM,AI,97,81,65,57,70,Intermediate,Civil Engineer
Commerce,Business,92,48,57,62,50,Beginner,Financial Analyst
PCM,Data,93,94,77,58,62,Intermediate,Software Developer
PCB,Healthcare,99,90,97,58,67,Intermediate,Microbiologist
PCM,Data,51,59,44,43,40,Beginner,AI Engineer
PCMB,Biotech,53,55,68,93,60,Beginner,Bioinformatics Scientist
Arts,Design,91,94,55,97,55,Beginner,Lawyer
Commerce,Marketing,60,51,87,67,40,Beginner,Investment Banker
Arts,Writing,77,49,72,62,86,Advanced,Graphic Designer
PCM,Technology,75,63,97,63,43,Beginner,Data Scientist
Arts,Design,77,61,68,63,89,Advanced,Lawyer
PCB,Healthcare,56,43,89,59,91,Advanced,Nutritionist
Commerce,Finance,79,49,86,66,49,Beginner,Chartered Accountant
PCMB,AI,85,75,72,93,53,Beginner,Genetic Engineer
PCM,Engineering,99,50,83,49,55,Beginner,AI Engineer
PCMB,AI,52,57,68,49,62,Intermediate,Genetic Engineer
PCB,Healthcare,59,63,59,79,49,Beginner,Microbiologist
PCB,Medical,46,86,50,64,70,Intermediate,Nutritionist
Commerce,Finance,44,49,93,41,57,Beginner,Financial Analyst
PCMB,Research,77,64,68,68,40,Beginner,Genetic Engineer
Commerce,Finance,95,75,50,42,52,Beginner,Investment Banker
PCMB,Biotech,58,82,93,56,59,Beginner,Biomedical Engineer
PCMB,Research,72,46,83,47,57,Beginner,Genetic Engineer
PCM,AI,53,48,62,41,99,Advanced,Civil Engineer
PCMB,Research,49,61,40,51,53,Beginner,Biomedical Engineer
Commerce,Finance,83,59,41,84,77,Intermediate,Business Analyst
PCB,Medical,71,93,58,96,89,Advanced,Doctor
PCMB,Biotech,61,59,68,54,86,Advanced,Genetic Engineer
Commerce,Finance,63,61,67,76,42,Beginner,Chartered Accountant
PCMB,Biotech,66,63,90,49,68,Intermediate,Biomedical Engineer
Commerce,Marketing,65,90,90,46,90,Advanced,Financial Analyst
Arts,Writing,71,42,93,89,85,Advanced,Psychologist
PCMB,AI,57,78,78,64,56,Beginner,Biomedical Engineer
Arts,Design,84,74,76,49,69,Intermediate,Psychologist
PCMB,AI,69,78,50,71,46,Beginner,Biomedical Engineer
PCB,Medical,57,41,41,63,78,Intermediate,Nutritionist
PCM,AI,41,74,68,90,79,Intermediate,Software Developer
PCMB,Research,46,54,61,77,61,Intermediate,Genetic Engineer
PCMB,Biotech,86,57,42,40,51,Beginner,Bioinformatics Scientist
PCM,Technology,93,78,46,93,69,Intermediate,Civil Engineer
PCMB,Biotech,80,96,41,46,68,Intermediate,Bioinformatics Scientist
PCB,Research,63,96,47,62,69,Intermediate,Microbiologist
Arts,Writing,73,83,99,48,91,Advanced,Journalist
Arts,Writing,84,88,95,58,43,Beginner,Lawyer
PCMB,AI,54,60,56,50,53,Beginner,Bioinformatics Scientist
PCMB,Research,42,45,81,88,40,Beginner,Genetic Engineer
PCMB,Research,96,66,67,78,98,Advanced,Genetic Engineer
PCMB,AI,44,58,41,68,98,Advanced,Biomedical Engineer
Arts,Human Behavior,89,60,59,47,95,Advanced,Lawyer
Arts,Human Behavior,100,76,59,58,52,Beginner,Journalist
Commerce,Marketing,49,73,41,53,79,Intermediate,Chartered Accountant
PCMB,Biotech,98,57,81,91,62,Intermediate,Biomedical Engineer
Arts,Writing,57,97,66,88,89,Advanced,Graphic Designer
Commerce,Business,100,97,73,85,56,Beginner,Financial Analyst
PCM,AI,95,49,48,47,72,Intermediate,Data Scientist
Commerce,Marketing,56,68,90,95,52,Beginner,Investment Banker
PCMB,Research,43,82,64,51,77,Intermediate,Genetic Engineer
PCB,Research,78,49,84,56,96,Advanced,Biotechnologist
Arts,Design,60,68,83,61,89,Advanced,Journalist
PCB,Healthcare,79,81,55,50,49,Beginner,Microbiologist
PCM,Data,91,47,95,45,96,Advanced,AI Engineer
PCM,Technology,49,73,79,86,47,Beginner,Civil Engineer
Arts,Writing,84,49,99,65,81,Advanced,Journalist
Arts,Writing,80,87,55,65,91,Advanced,Journalist
Commerce,Finance,55,97,50,93,57,Beginner,Business Analyst
Commerce,Business,95,47,98,78,69,Intermediate,Business Analyst
Commerce,Business,55,40,43,87,55,Beginner,Chartered Accountant
PCB,Healthcare,59,52,70,98,45,Beginner,Biotechnologist
PCMB,Research,88,84,43,54,68,Intermediate,Genetic Engineer
PCMB,Biotech,42,73,92,70,56,Beginner,Biomedical Engineer
PCM,Data,69,87,98,84,85,Advanced,AI Engineer
PCM,Data,80,92,78,53,51,Beginner,Mechanical Engineer
Commerce,Marketing,77,98,91,60,63,Intermediate,Financial Analyst
Commerce,Business,40,40,89,54,73,Intermediate,Financial Analyst
Commerce,Marketing,100,49,45,61,95,Advanced,Investment Banker
PCM,Technology,50,93,57,48,55,Beginner,AI Engineer
Arts,Human Behavior,47,49,48,53,77,Intermediate,Psychologist
PCB,Research,92,88,71,65,49,Beginner,Microbiologist
Commerce,Marketing,40,50,54,73,87,Advanced,Chartered Accountant
PCM,Engineering,53,70,69,93,44,Beginner,Software Developer
Commerce,Finance,86,75,50,74,53,Beginner,Business Analyst
Commerce,Business,91,72,55,46,87,Advanced,Investment Banker
PCM,AI,71,66,49,68,88,Advanced,Civil Engineer
PCM,AI,46,53,99,48,84,Advanced,Software Developer
PCMB,AI,98,48,57,59,73,Intermediate,Genetic Engineer
Commerce,Business,95,84,88,74,44,Beginner,Investment Banker
Commerce,Marketing,100,92,70,62,92,Advanced,Chartered Accountant
Commerce,Business,73,98,45,100,55,Beginner,Investment Banker
PCB,Medical,40,92,65,83,79,Intermediate,Nutritionist
